#Created as New Dataset	Sample 002 By PEService Date Tuesday	 April 30 2013
#cm-1	%T
4000.00	100.13
3999.00	100.14
3998.00	100.14
3997.00	100.14
3996.00	100.13
3995.00	100.13
3994.00	100.12
3993.00	100.11
3992.00	100.11
3991.00	100.11
3990.00	100.11
3989.00	100.10
3988.00	100.10
3987.00	100.11
3986.00	100.11
3985.00	100.12
3984.00	100.13
3983.00	100.13
3982.00	100.13
3981.00	100.13
3980.00	100.12
3979.00	100.12
3978.00	100.12
3977.00	100.13
3976.00	100.13
3975.00	100.14
3974.00	100.14
3973.00	100.14
3972.00	100.14
3971.00	100.14
3970.00	100.13
3969.00	100.13
3968.00	100.13
3967.00	100.12
3966.00	100.12
3965.00	100.12
3964.00	100.12
3963.00	100.12
3962.00	100.13
3961.00	100.13
3960.00	100.13
3959.00	100.13
3958.00	100.13
3957.00	100.13
3956.00	100.13
3955.00	100.13
3954.00	100.13
3953.00	100.14
3952.00	100.14
3951.00	100.14
3950.00	100.14
3949.00	100.13
3948.00	100.13
3947.00	100.13
3946.00	100.14
3945.00	100.15
3944.00	100.15
3943.00	100.15
3942.00	100.16
3941.00	100.16
3940.00	100.16
3939.00	100.15
3938.00	100.15
3937.00	100.14
3936.00	100.14
3935.00	100.14
3934.00	100.13
3933.00	100.13
3932.00	100.13
3931.00	100.12
3930.00	100.12
3929.00	100.12
3928.00	100.12
3927.00	100.12
3926.00	100.12
3925.00	100.12
3924.00	100.13
3923.00	100.14
3922.00	100.14
3921.00	100.14
3920.00	100.14
3919.00	100.14
3918.00	100.15
3917.00	100.15
3916.00	100.16
3915.00	100.15
3914.00	100.15
3913.00	100.15
3912.00	100.15
3911.00	100.15
3910.00	100.15
3909.00	100.14
3908.00	100.14
3907.00	100.14
3906.00	100.13
3905.00	100.12
3904.00	100.12
3903.00	100.12
3902.00	100.12
3901.00	100.12
3900.00	100.13
3899.00	100.13
3898.00	100.14
3897.00	100.14
3896.00	100.14
3895.00	100.15
3894.00	100.15
3893.00	100.15
3892.00	100.15
3891.00	100.15
3890.00	100.15
3889.00	100.15
3888.00	100.15
3887.00	100.15
3886.00	100.15
3885.00	100.15
3884.00	100.15
3883.00	100.15
3882.00	100.15
3881.00	100.15
3880.00	100.14
3879.00	100.14
3878.00	100.15
3877.00	100.15
3876.00	100.15
3875.00	100.15
3874.00	100.14
3873.00	100.14
3872.00	100.14
3871.00	100.14
3870.00	100.15
3869.00	100.16
3868.00	100.17
3867.00	100.17
3866.00	100.17
3865.00	100.17
3864.00	100.17
3863.00	100.16
3862.00	100.16
3861.00	100.16
3860.00	100.15
3859.00	100.16
3858.00	100.16
3857.00	100.16
3856.00	100.16
3855.00	100.16
3854.00	100.16
3853.00	100.16
3852.00	100.16
3851.00	100.16
3850.00	100.16
3849.00	100.15
3848.00	100.15
3847.00	100.15
3846.00	100.16
3845.00	100.16
3844.00	100.16
3843.00	100.17
3842.00	100.17
3841.00	100.17
3840.00	100.17
3839.00	100.17
3838.00	100.18
3837.00	100.18
3836.00	100.17
3835.00	100.17
3834.00	100.17
3833.00	100.17
3832.00	100.16
3831.00	100.16
3830.00	100.16
3829.00	100.16
3828.00	100.17
3827.00	100.18
3826.00	100.18
3825.00	100.19
3824.00	100.20
3823.00	100.21
3822.00	100.21
3821.00	100.20
3820.00	100.19
3819.00	100.17
3818.00	100.17
3817.00	100.18
3816.00	100.19
3815.00	100.20
3814.00	100.20
3813.00	100.19
3812.00	100.19
3811.00	100.19
3810.00	100.19
3809.00	100.19
3808.00	100.19
3807.00	100.18
3806.00	100.18
3805.00	100.18
3804.00	100.18
3803.00	100.18
3802.00	100.18
3801.00	100.18
3800.00	100.18
3799.00	100.18
3798.00	100.19
3797.00	100.20
3796.00	100.21
3795.00	100.20
3794.00	100.19
3793.00	100.19
3792.00	100.18
3791.00	100.17
3790.00	100.17
3789.00	100.17
3788.00	100.17
3787.00	100.17
3786.00	100.17
3785.00	100.17
3784.00	100.17
3783.00	100.18
3782.00	100.18
3781.00	100.19
3780.00	100.19
3779.00	100.19
3778.00	100.18
3777.00	100.18
3776.00	100.18
3775.00	100.18
3774.00	100.18
3773.00	100.18
3772.00	100.18
3771.00	100.18
3770.00	100.18
3769.00	100.18
