#Created as New Dataset	Sample 000 By PEService Date Tuesday	 April 30 2013
#cm-1	%T
4000.00	99.80
3999.00	99.81
3998.00	99.81
3997.00	99.82
3996.00	99.83
3995.00	99.84
3994.00	99.84
3993.00	99.84
3992.00	99.84
3991.00	99.84
3990.00	99.83
3989.00	99.83
3988.00	99.83
3987.00	99.83
3986.00	99.83
3985.00	99.84
3984.00	99.84
3983.00	99.83
3982.00	99.82
3981.00	99.81
3980.00	99.81
3979.00	99.81
3978.00	99.81
3977.00	99.81
3976.00	99.82
3975.00	99.82
3974.00	99.82
3973.00	99.82
3972.00	99.82
3971.00	99.82
3970.00	99.82
3969.00	99.83
3968.00	99.83
3967.00	99.84
3966.00	99.84
3965.00	99.85
3964.00	99.84
3963.00	99.84
3962.00	99.83
3961.00	99.83
3960.00	99.83
3959.00	99.83
3958.00	99.83
3957.00	99.82
3956.00	99.82
3955.00	99.81
3954.00	99.81
3953.00	99.80
3952.00	99.80
3951.00	99.80
3950.00	99.81
3949.00	99.82
3948.00	99.83
3947.00	99.83
3946.00	99.83
3945.00	99.83
3944.00	99.82
3943.00	99.83
3942.00	99.83
3941.00	99.84
3940.00	99.85
3939.00	99.85
3938.00	99.85
3937.00	99.85
3936.00	99.85
3935.00	99.84
3934.00	99.83
3933.00	99.82
3932.00	99.80
3931.00	99.80
3930.00	99.80
3929.00	99.80
3928.00	99.81
3927.00	99.81
3926.00	99.81
3925.00	99.81
3924.00	99.81
3923.00	99.82
3922.00	99.82
3921.00	99.82
3920.00	99.83
3919.00	99.84
3918.00	99.84
3917.00	99.84
3916.00	99.84
3915.00	99.84
3914.00	99.84
3913.00	99.83
3912.00	99.82
3911.00	99.81
3910.00	99.80
3909.00	99.80
3908.00	99.80
3907.00	99.81
3906.00	99.81
3905.00	99.81
3904.00	99.81
3903.00	99.82
3902.00	99.83
3901.00	99.84
3900.00	99.85
3899.00	99.85
3898.00	99.84
3897.00	99.83
3896.00	99.83
3895.00	99.83
3894.00	99.83
3893.00	99.84
3892.00	99.85
3891.00	99.86
3890.00	99.86
3889.00	99.86
3888.00	99.85
3887.00	99.85
3886.00	99.85
3885.00	99.85
3884.00	99.85
3883.00	99.85
3882.00	99.86
3881.00	99.86
3880.00	99.86
3879.00	99.86
3878.00	99.86
3877.00	99.85
3876.00	99.84
3875.00	99.84
3874.00	99.83
3873.00	99.83
3872.00	99.84
3871.00	99.85
3870.00	99.87
3869.00	99.88
3868.00	99.89
3867.00	99.88
3866.00	99.87
3865.00	99.86
3864.00	99.85
3863.00	99.84
3862.00	99.84
3861.00	99.84
3860.00	99.84
3859.00	99.84
3858.00	99.84
3857.00	99.84
3856.00	99.84
3855.00	99.84
3854.00	99.84
3853.00	99.84
3852.00	99.84
3851.00	99.84
3850.00	99.84
3849.00	99.85
3848.00	99.85
3847.00	99.86
3846.00	99.86
3845.00	99.85
3844.00	99.84
3843.00	99.83
3842.00	99.83
3841.00	99.83
3840.00	99.84
3839.00	99.85
3838.00	99.85
3837.00	99.85
3836.00	99.85
3835.00	99.85
3834.00	99.86
3833.00	99.86
3832.00	99.87
3831.00	99.87
3830.00	99.87
3829.00	99.87
3828.00	99.86
3827.00	99.86
3826.00	99.85
3825.00	99.85
3824.00	99.84
3823.00	99.84
3822.00	99.84
3821.00	99.84
3820.00	99.84
3819.00	99.84
3818.00	99.84
3817.00	99.84
3816.00	99.85
3815.00	99.85
3814.00	99.85
3813.00	99.85
3812.00	99.85
3811.00	99.84
3810.00	99.84
3809.00	99.84
3808.00	99.85
3807.00	99.85
3806.00	99.85
3805.00	99.85
3804.00	99.85
3803.00	99.85
3802.00	99.85
3801.00	99.85
3800.00	99.84
3799.00	99.84
3798.00	99.84
3797.00	99.84
3796.00	99.84
3795.00	99.83
3794.00	99.83
3793.00	99.83
3792.00	99.83
3791.00	99.83
3790.00	99.83
3789.00	99.83
3788.00	99.83
3787.00	99.83
3786.00	99.83
3785.00	99.83
3784.00	99.83
3783.00	99.84
3782.00	99.84
3781.00	99.84
3780.00	99.84
3779.00	99.85
3778.00	99.85
3777.00	99.85
3776.00	99.85
3775.00	99.85
3774.00	99.85
3773.00	99.84
3772.00	99.84
3771.00	99.83
3770.00	99.83
3769.00	99.83
3768.00	99.82
3767.00	99.82
3766.00	99.81
3765.00	99.80
3764.00	99.80
3763.00	99.80
3762.00	99.81
3761.00	99.82
3760.00	99.82
3759.00	99.83
3758.00	99.83
3757.00	99.82
3756.00	99.82
3755.00	99.82
3754.00	99.82
3753.00	99.83
3752.00	99.84
3751.00	99.84
3750.00	99.85
3749.00	99.85
3748.00	99.84
3747.00	99.83
3746.00	99.83
3745.00	99.82
3744.00	99.81
3743.00	99.81
3742.00	99.81
3741.00	99.82
3740.00	99.83
3739.00	99.83
3738.00	99.83
3737.00	99.83
3736.00	99.82
3735.00	99.81
3734.00	99.81
3733.00	99.81
3732.00	99.80
3731.00	99.80
3730.00	99.80
3729.00	99.80
3728.00	99.80
3727.00	99.80
3726.00	99.80
3725.00	99.80
3724.00	99.79
3723.00	99.78
3722.00	99.77
3721.00	99.77
3720.00	99.77
3719.00	99.77
3718.00	99.77
3717.00	99.78
3716.00	99.78
3715.00	99.78
3714.00	99.78
3713.00	99.78
3712.00	99.78
3711.00	99.78
3710.00	99.78
3709.00	99.78
3708.00	99.78
3707.00	99.79
3706.00	99.79
3705.00	99.78
3704.00	99.78
3703.00	99.78
3702.00	99.78
3701.00	99.78
3700.00	99.77
3699.00	99.76
3698.00	99.75
3697.00	99.75
3696.00	99.76
3695.00	99.76
3694.00	99.77
3693.00	99.78
3692.00	99.78
3691.00	99.78
3690.00	99.78
3689.00	99.78
3688.00	99.78
3687.00	99.77
3686.00	99.76
3685.00	99.74
3684.00	99.73
3683.00	99.72
3682.00	99.71
3681.00	99.71
3680.00	99.71
3679.00	99.72
3678.00	99.72
3677.00	99.72
3676.00	99.71
3675.00	99.71
3674.00	99.70
3673.00	99.70
3672.00	99.69
3671.00	99.68
3670.00	99.67
3669.00	99.66
3668.00	99.66
3667.00	99.65
3666.00	99.64
3665.00	99.63
3664.00	99.62
3663.00	99.61
3662.00	99.60
3661.00	99.59
3660.00	99.59
3659.00	99.59
3658.00	99.58
3657.00	99.57
3656.00	99.55
3655.00	99.53
3654.00	99.52
3653.00	99.51
3652.00	99.50
3651.00	99.50
3650.00	99.50
3649.00	99.50
3648.00	99.49
3647.00	99.48
3646.00	99.46
3645.00	99.44
3644.00	99.42
3643.00	99.41
3642.00	99.40
3641.00	99.39
3640.00	99.38
3639.00	99.37
3638.00	99.36
3637.00	99.35
3636.00	99.34
3635.00	99.33
3634.00	99.31
3633.00	99.30
3632.00	99.28
3631.00	99.25
3630.00	99.23
3629.00	99.21
3628.00	99.20
3627.00	99.19
3626.00	99.18
3625.00	99.17
3624.00	99.16
3623.00	99.15
3622.00	99.14
3621.00	99.12
3620.00	99.11
3619.00	99.08
3618.00	99.06
3617.00	99.04
3616.00	99.02
3615.00	99.00
3614.00	99.00
3613.00	98.99
3612.00	98.98
3611.00	98.97
3610.00	98.95
3609.00	98.92
3608.00	98.90
3607.00	98.87
3606.00	98.85
3605.00	98.83
3604.00	98.80
3603.00	98.78
3602.00	98.76
3601.00	98.74
3600.00	98.73
3599.00	98.70
3598.00	98.68
3597.00	98.65
3596.00	98.63
3595.00	98.60
3594.00	98.59
3593.00	98.57
3592.00	98.57
3591.00	98.56
3590.00	98.54
3589.00	98.53
3588.00	98.50
3587.00	98.48
3586.00	98.46
3585.00	98.43
3584.00	98.41
3583.00	98.38
3582.00	98.35
3581.00	98.32
3580.00	98.29
3579.00	98.27
3578.00	98.24
3577.00	98.22
3576.00	98.19
3575.00	98.16
3574.00	98.13
3573.00	98.11
3572.00	98.10
3571.00	98.08
3570.00	98.06
3569.00	98.04
3568.00	98.02
3567.00	98.00
3566.00	97.97
3565.00	97.94
3564.00	97.91
3563.00	97.89
3562.00	97.86
3561.00	97.84
3560.00	97.81
3559.00	97.78
3558.00	97.75
3557.00	97.72
3556.00	97.69
3555.00	97.66
3554.00	97.63
3553.00	97.60
3552.00	97.57
3551.00	97.53
3550.00	97.50
3549.00	97.46
3548.00	97.43
3547.00	97.41
3546.00	97.38
3545.00	97.35
3544.00	97.32
3543.00	97.29
3542.00	97.27
3541.00	97.24
3540.00	97.21
3539.00	97.18
3538.00	97.15
3537.00	97.12
3536.00	97.08
3535.00	97.05
3534.00	97.01
3533.00	96.98
3532.00	96.94
3531.00	96.91
3530.00	96.88
3529.00	96.84
3528.00	96.81
3527.00	96.77
3526.00	96.74
3525.00	96.71
3524.00	96.67
3523.00	96.64
3522.00	96.61
3521.00	96.57
3520.00	96.53
3519.00	96.50
3518.00	96.47
3517.00	96.44
3516.00	96.42
3515.00	96.39
3514.00	96.36
3513.00	96.32
3512.00	96.28
3511.00	96.24
3510.00	96.20
3509.00	96.16
3508.00	96.12
3507.00	96.09
3506.00	96.06
3505.00	96.04
3504.00	96.01
3503.00	95.98
3502.00	95.95
3501.00	95.91
3500.00	95.87
3499.00	95.83
3498.00	95.80
3497.00	95.76
3496.00	95.72
3495.00	95.68
3494.00	95.64
3493.00	95.60
3492.00	95.57
3491.00	95.54
3490.00	95.51
3489.00	95.48
3488.00	95.45
3487.00	95.41
3486.00	95.37
3485.00	95.33
3484.00	95.30
3483.00	95.27
3482.00	95.24
3481.00	95.21
3480.00	95.18
3479.00	95.14
3478.00	95.11
3477.00	95.07
3476.00	95.03
3475.00	94.99
3474.00	94.96
3473.00	94.93
3472.00	94.91
3471.00	94.89
