#Created as New Dataset	Sample 001 By PEService Date Tuesday	 April 30 2013
#cm-1	%T
4000.00	99.83
3999.00	99.82
3998.00	99.82
3997.00	99.82
3996.00	99.82
3995.00	99.82
3994.00	99.83
3993.00	99.83
3992.00	99.84
3991.00	99.84
3990.00	99.85
3989.00	99.85
3988.00	99.84
3987.00	99.84
3986.00	99.83
3985.00	99.83
3984.00	99.83
3983.00	99.84
3982.00	99.84
3981.00	99.85
3980.00	99.85
3979.00	99.86
3978.00	99.85
3977.00	99.85
3976.00	99.84
3975.00	99.84
3974.00	99.84
3973.00	99.84
3972.00	99.84
3971.00	99.84
3970.00	99.84
3969.00	99.84
3968.00	99.84
3967.00	99.84
3966.00	99.84
3965.00	99.84
3964.00	99.84
3963.00	99.85
3962.00	99.86
3961.00	99.86
3960.00	99.86
3959.00	99.86
3958.00	99.85
3957.00	99.85
3956.00	99.85
3955.00	99.86
3954.00	99.86
3953.00	99.86
3952.00	99.86
3951.00	99.86
3950.00	99.86
3949.00	99.86
3948.00	99.87
3947.00	99.87
3946.00	99.86
3945.00	99.86
3944.00	99.85
3943.00	99.84
3942.00	99.84
3941.00	99.84
3940.00	99.85
3939.00	99.85
3938.00	99.85
3937.00	99.86
3936.00	99.86
3935.00	99.86
3934.00	99.86
3933.00	99.86
3932.00	99.86
3931.00	99.86
3930.00	99.86
3929.00	99.86
3928.00	99.86
3927.00	99.86
3926.00	99.86
3925.00	99.87
3924.00	99.87
3923.00	99.88
3922.00	99.87
3921.00	99.87
3920.00	99.86
3919.00	99.86
3918.00	99.86
3917.00	99.86
3916.00	99.86
3915.00	99.86
3914.00	99.86
3913.00	99.86
3912.00	99.87
3911.00	99.87
3910.00	99.87
3909.00	99.87
3908.00	99.87
3907.00	99.87
3906.00	99.87
3905.00	99.88
3904.00	99.88
3903.00	99.88
3902.00	99.88
3901.00	99.88
3900.00	99.87
3899.00	99.88
3898.00	99.87
3897.00	99.87
3896.00	99.87
3895.00	99.87
3894.00	99.86
3893.00	99.86
3892.00	99.86
3891.00	99.87
3890.00	99.87
3889.00	99.87
3888.00	99.87
3887.00	99.87
3886.00	99.87
3885.00	99.87
3884.00	99.87
3883.00	99.88
3882.00	99.88
3881.00	99.87
3880.00	99.87
3879.00	99.88
3878.00	99.88
3877.00	99.88
3876.00	99.88
3875.00	99.88
3874.00	99.87
3873.00	99.87
3872.00	99.86
3871.00	99.86
3870.00	99.86
3869.00	99.87
3868.00	99.88
3867.00	99.88
3866.00	99.88
3865.00	99.88
3864.00	99.88
3863.00	99.88
3862.00	99.87
3861.00	99.87
3860.00	99.87
3859.00	99.87
3858.00	99.87
3857.00	99.87
3856.00	99.86
3855.00	99.86
3854.00	99.86
3853.00	99.86
3852.00	99.86
3851.00	99.87
3850.00	99.87
3849.00	99.88
